"symbol","exchange","asset_type"
AEE,NYSE,Stock
AFG,NYSE,Stock
AFGB,NYSE,Stock
AFGE,NYSE,Stock
AGNC,NASDAQ,Stock
AGNCM,NASDAQ,Stock
AGNCN,NASDAQ,Stock
AGNCO,NASDAQ,Stock
AJG,NYSE,Stock
AL,NYSE,Stock
ALB,NYSE,Stock
ALK,NYSE,Stock
ALSN,NYSE,Stock
AME,NYSE,Stock
ANET,NYSE,Stock
AQNB,NYSE,Stock
ARCC,NASDAQ,Stock
ASH,NYSE,Stock
ATO,NYSE,Stock
AU,NYSE,Stock
AVB,NYSE,Stock
AVNT,NYSE,Stock
AWK,NYSE,Stock
BALL,NYSE,Stock
BBWI,NYSE,Stock
BF-A,NYSE,Stock
BF-B,NYSE,Stock
BIP,NYSE,Stock
BOKF,NASDAQ,Stock
BPOP,NASDAQ,Stock
BPOPM,NASDAQ,Stock
BWA,NYSE,Stock
BXP,NYSE,Stock
CACC,NASDAQ,Stock
CAG,NYSE,Stock
CCI,NYSE,Stock
CCK,NYSE,Stock
CDNS,NASDAQ,Stock
CDW,NASDAQ,Stock
CE,NYSE,Stock
CF,NYSE,Stock
CHD,NYSE,Stock
CHKP,NASDAQ,Stock
CHRW,NASDAQ,Stock
CHSCM,NASDAQ,Stock
CHSCN,NASDAQ,Stock
CHSCO,NASDAQ,Stock
CHSCP,NASDAQ,Stock
CMS,NYSE,Stock
CMSA,NYSE,Stock
CMSC,NYSE,Stock
CMSD,NYSE,Stock
CNA,NYSE,Stock
CNF,NYSE,Stock
CNP,NYSE,Stock
CPAY,NYSE,Stock
CPRI,NYSE,Stock
CPRT,NASDAQ,Stock
CTAS,NASDAQ,Stock
CTRA,NYSE,Stock
DGX,NYSE,Stock
DINO,NYSE,Stock
DLR,NYSE,Stock
DOV,NYSE,Stock
DRI,NYSE,Stock
EAF,NYSE,Stock
EMN,NYSE,Stock
EQIX,NASDAQ,Stock
ES,NYSE,Stock
ESGR,NASDAQ,Stock
ESNT,NYSE,Stock
EWBC,NASDAQ,Stock
EXPD,NASDAQ,Stock
EXPE,NASDAQ,Stock
FAF,NYSE,Stock
FAST,NASDAQ,Stock
FDX,NYSE,Stock
FE,NYSE,Stock
FENG,NYSE,Stock
FI,NYSE,Stock
FL,NYSE,Stock
FMC,NYSE,Stock
FTV,NYSE,Stock
GL,NYSE,Stock
GLW,NYSE,Stock
GNW,NYSE,Stock
GPC,NYSE,Stock
GRFS,NASDAQ,Stock
GRMN,NYSE,Stock
GTES,NYSE,Stock
GWW,NYSE,Stock
H,NYSE,Stock
HAS,NASDAQ,Stock
HBI,NYSE,Stock
