symbol_id,symbol,fiscal_date_ending,report_type,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,api_response_status,created_at,updated_at
2787,MLP,2018-12-31,quarterly,USD,1980000.0,2725000.0,745000.0,745000.0,-1446000.0,545000.0,0.0,1249000.0,,,,45000.0,,,,231000.0,-1491000.0,370000.0,,3867000.0,,-1446000.0,-1215000.0,3659000.0,pass,2025-08-05 09:14:18.934977,2025-08-05 09:14:18.934977
8554,AZN,2010-12-31,annual,USD,26880000000.0,33269000000.0,6389000000.0,6389000000.0,11494000000.0,10445000000.0,5318000000.0,15386000000.0,,,,479000000.0,,,,2741000000.0,10977000000.0,2896000000.0,,,,11999000000.0,14740000000.0,8053000000.0,pass,2025-08-05 09:21:06.405017,2025-08-05 09:21:06.405017
10838,GAIA,2006-03-31,quarterly,USD,33162000.0,51752000.0,18590000.0,18590000.0,1010000.0,32152000.0,0.0,32152000.0,,,,0.0,,,,1682000.0,1587000.0,612000.0,,0.0,,-672000.0,1010000.0,890000.0,pass,2025-08-05 09:28:21.419171,2025-08-05 09:28:21.419171
8778,HKIT,2021-09-30,quarterly,None,990956.0,1735116.0,744160.0,744160.0,490225.0,471731.0,11610.0,498676.0,,,,,,,,77094.0,529870.0,128792.0,,,,490225.0,567319.0,401078.0,pass,2025-08-05 10:34:00.379813,2025-08-05 10:34:00.379813
6314,CBT,2014-03-31,quarterly,USD,176000000.0,898000000.0,722000000.0,722000000.0,68000000.0,92000000.0,16000000.0,108000000.0,,,,15000000.0,,-9000000.0,,49000000.0,48000000.0,7000000.0,,39000000.0,,84000000.0,133000000.0,36000000.0,pass,2025-08-05 08:41:06.772041,2025-08-05 08:41:06.772041
11577,NVRI,2021-12-31,annual,USD,357843000.0,1848399000.0,1490556000.0,1490556000.0,88376000.0,272233000.0,956000.0,273189000.0,,-66510000.0,2231000.0,59761000.0,,-3577000.0,,159634000.0,37506000.0,9089000.0,,28115000.0,,97267000.0,256901000.0,-3249000.0,pass,2025-08-05 00:15:08.366568,2025-08-05 00:15:08.366568
6897,CRAI,2016-09-30,quarterly,USD,23859000.0,81691000.0,57832000.0,57832000.0,5297000.0,16700000.0,0.0,18562000.0,,,,129000.0,,-108000.0,,1891000.0,5060000.0,1909000.0,,3151000.0,,5189000.0,7080000.0,3193000.0,pass,2025-08-05 09:25:06.378285,2025-08-05 09:25:06.378285
4282,WB,2017-03-31,quarterly,USD,152751000.0,199201000.0,46450000.0,46450000.0,55851000.0,10546000.0,39191000.0,96900000.0,,,,2222000.0,,,,122000.0,57951000.0,11316000.0,,46635000.0,,59224500.0,59346500.0,46931000.0,pass,2025-08-05 09:47:26.911206,2025-08-05 09:47:26.911206
5950,CNS,2013-12-31,quarterly,USD,42270000.0,73432000.0,31162000.0,31162000.0,29356000.0,11418000.0,0.0,12914000.0,,,,0.0,,1971000.0,,1496000.0,31327000.0,11899000.0,,19428000.0,,30129000.0,31625000.0,19413000.0,pass,2025-08-05 08:50:43.726760,2025-08-05 08:50:43.726760
6093,CLSKW,2019-09-30,quarterly,None,94103.0,976824.0,2040000.0,2040000.0,-2991000.0,2131000.0,419023.0,10093000.0,,,,2287000.0,,,,637508.0,-1916000.0,,,,,-2952508.0,-2315000.0,-1916000.0,pass,2025-08-05 09:41:31.734033,2025-08-05 09:41:31.734033
12597,PING,,annual,,,,,,,,,,,,,,,,,,,,,,,,,,error,2025-08-04 23:54:43.128877,2025-08-04 23:54:43.128877
2142,L,2012-06-30,quarterly,USD,2387000000.0,3388000000.0,1001000000.0,1001000000.0,-516000000.0,1001000000.0,0.0,3174000000.0,,,,111000000.0,,,,,214000000.0,16000000.0,,2658000000.0,,214000000.0,-516000000.0,56000000.0,pass,2025-08-04 23:41:55.652787,2025-08-04 23:41:55.652787
6477,DGII,2006-06-30,quarterly,USD,20638000.0,35860000.0,15222000.0,15222000.0,3751000.0,11485000.0,5402000.0,16887000.0,,,,575000.0,,,,2596000.0,4326000.0,978000.0,,0.0,,1155000.0,3751000.0,3348000.0,pass,2025-08-05 10:36:24.066796,2025-08-05 10:36:24.066796
3049,UL,2006-09-30,quarterly,EUR,9774500000.0,19821000000.0,10046500000.0,10046500000.0,2704000000.0,2327500000.0,,17215000000.0,,,,295000000.0,,,,491000000.0,2415500000.0,573000000.0,,,,2710500000.0,3201500000.0,2372500000.0,pass,2025-08-05 00:02:12.661579,2025-08-05 00:02:12.661579
10246,FBIOP,2015-03-31,quarterly,USD,500000.0,500000.0,,,-12071000.0,3490000.0,1642000.0,12571000.0,,,,331000.0,,,,6000.0,-12535000.0,-148000.0,,,,-12225000.0,-12219000.0,-12056000.0,pass,2025-08-05 09:33:43.406678,2025-08-05 09:33:43.406678
1043,QVCD,2014-03-31,quarterly,USD,730000000.0,1986000000.0,1256000000.0,1256000000.0,260000000.0,,,472000000.0,,,,62000000.0,,,,123000000.0,196000000.0,74000000.0,,,,260000000.0,383000000.0,113000000.0,pass,2025-08-05 09:10:16.442501,2025-08-05 09:10:16.442501
11420,FLYX,2021-12-31,quarterly,None,,,,,-529530.0,,,529533.0,,,,,,,,,-639658.0,,,,,,-639658.0,-639658.0,pass,2025-08-05 00:01:57.832714,2025-08-05 00:01:57.832714
4177,WING,2022-03-31,quarterly,USD,37364000.0,76205000.0,38841000.0,38841000.0,16607000.0,18086000.0,,20313000.0,,-4192000.0,,4192000.0,,-879000.0,,2227000.0,11536000.0,2860000.0,,8676000.0,,15728000.0,17955000.0,8676000.0,pass,2025-08-05 11:07:07.967765,2025-08-05 11:07:07.967765
8517,BCS,2010-12-31,quarterly,GBP,9332000000.0,9332000000.0,9921089000.0,9921089000.0,1791000000.0,9653911000.0,0.0,5891000000.0,,,,11562470000.0,,,,,1791000000.0,448000000.0,,0.0,,1791000000.0,1532000000.0,1084000000.0,pass,2025-08-05 09:07:24.850169,2025-08-05 09:07:24.850169
5652,SQM,2019-12-31,annual,USD,560052000.0,1943655000.0,1383603000.0,1383603000.0,433655000.0,59785000.0,,124851000.0,,-50650000.0,36051000.0,72522000.0,,,,206679000.0,390622000.0,110019000.0,,280603000.0,,453358000.0,660037000.0,278115000.0,pass,2025-08-04 23:57:05.168068,2025-08-04 23:57:05.168068
8884,HTZWW,2010-03-31,quarterly,USD,647900000.0,1660900000.0,1013000000.0,1013000000.0,20973000.0,,,626900000.0,,,,181100000.0,,,,459200000.0,-157800000.0,-11000000.0,,,,62724000.0,521924000.0,-150400000.0,pass,2025-08-05 11:07:57.885651,2025-08-05 11:07:57.885651
716,NXG,2024-11-30,quarterly,None,7502797.0,9253705.0,1750908.0,1750908.0,43228418.0,,,-35725621.0,,,,,,,,,41565225.0,,,,,,43228418.0,41565225.0,pass,2025-08-05 09:07:29.598306,2025-08-05 09:07:29.598306
7824,AFBI,2022-12-31,quarterly,USD,7903000.0,9544000.0,1691000.0,1691000.0,2212000.0,3002000.0,,5641000.0,,7337000.0,8978000.0,1641000.0,,,,667000.0,2212000.0,513000.0,,1699000.0,,2212000.0,2879000.0,1699000.0,pass,2025-08-05 09:49:48.745497,2025-08-05 09:49:48.745497
7261,ANGO,2018-08-31,quarterly,USD,44467000.0,85340000.0,40873000.0,40873000.0,326000.0,8496000.0,7662000.0,39707000.0,,,,917000.0,,114000.0,,5599000.0,-477000.0,-8000.0,,-469000.0,,-5273000.0,326000.0,-469000.0,pass,2025-08-05 11:23:36.440108,2025-08-05 11:23:36.440108
3647,XPRO,2020-12-31,quarterly,USD,106762000.0,154190000.0,47428000.0,47428000.0,-8281000.0,5129000.0,45025000.0,117417000.0,,,,93000.0,,5453000.0,,28940000.0,-14982000.0,735000.0,,-8206000.0,,-8281000.0,20659000.0,-15717000.0,pass,2025-08-05 08:49:13.888082,2025-08-05 08:49:13.888082
