symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
10240,FC,2000-10-27,7.688,7.75,7.5,7.75,7.75,76600,0.0,1.0,2025-07-09 08:51:45.402318,2025-07-09 08:51:45.402318
5922,CGC,2023-02-22,2.38,2.4364,2.3,2.39,23.9,8478439,0.0,1.0,2025-07-09 11:14:29.197618,2025-07-09 11:14:29.197618
5093,SYBT,2019-10-07,35.81,36.14,35.49,35.99,31.5366,166182,0.0,1.0,2025-07-09 12:57:49.801567,2025-07-09 12:57:49.801567
6466,CARR,2022-10-17,35.52,35.99,34.92,35.55,34.0794,8497385,0.0,1.0,2025-07-09 09:09:38.675129,2025-07-09 09:09:38.675129
9736,ILMN,2008-08-12,89.96,90.8,88.52,90.37,43.9543,1072800,0.0,1.0,2025-07-09 12:34:51.639946,2025-07-09 12:34:51.639946
2910,UPBD,2017-09-28,11.36,11.605,11.36,11.53,8.7514,899017,0.0,1.0,2025-07-09 10:35:47.726836,2025-07-09 10:35:47.726836
4075,VNO,2023-03-28,13.76,14.29,13.6,14.18,13.8182,4787372,0.0,1.0,2025-07-09 08:48:13.967405,2025-07-09 08:48:13.967405
5702,SPNS,2007-04-12,1.65,1.74,1.63,1.7,1.3216,4252,0.0,1.0,2025-07-09 12:38:09.162641,2025-07-09 12:38:09.162641
839,PSN,2020-06-30,35.43,36.27,35.37,36.24,36.24,279400,0.0,1.0,2025-07-09 08:37:41.646024,2025-07-09 08:37:41.646024
2848,MNST,2015-12-16,153.18,154.22,150.79,153.31,25.5516,796389,0.0,1.0,2025-07-09 11:43:16.166451,2025-07-09 11:43:16.166451
1143,PLUS,2012-05-15,30.37,30.93,30.37,30.42,7.1576,3700,0.0,1.0,2025-07-09 12:17:48.376620,2025-07-09 12:17:48.376620
10442,ECCX,2022-08-23,25.2,25.2,25.05,25.0501,20.4067,1311,0.0,1.0,2025-07-09 09:01:34.827809,2025-07-09 09:01:34.827809
7352,AMAOW,2021-11-22,0.558,0.6399,0.558,0.614,0.614,300,0.0,1.0,2025-07-09 10:33:41.217556,2025-07-09 10:33:41.217556
1314,PSFE-WS,2023-03-02,0.1058,0.1144,0.1058,0.113,0.113,52448,0.0,1.0,2025-07-09 09:04:05.224404,2025-07-09 09:04:05.224404
6064,CLRB,2009-01-22,0.45,0.49,0.45,0.49,44982000.0,0,0.0,1.0,2025-07-09 12:14:37.392030,2025-07-09 12:14:37.392030
5306,TAIT,2017-10-05,1.57,1.65,1.57,1.6301,1.0481,28819,0.0,1.0,2025-07-09 11:00:45.814491,2025-07-09 11:00:45.814491
5940,CNMD,1999-12-27,23.63,24.13,23.25,24.13,13.4368,46400,0.0,1.0,2025-07-09 08:56:03.062091,2025-07-09 08:56:03.062091
7105,CTS,2006-03-10,12.88,13.09,12.79,13.02,10.9975,116500,0.0,1.0,2025-07-09 10:08:24.572174,2025-07-09 10:08:24.572174
5761,CHNR,1999-12-09,7.5,7.5,6.0,7.5,300.0,27600,0.0,1.0,2025-07-09 11:07:41.055272,2025-07-09 11:07:41.055272
9850,IDN,2023-08-29,2.53,2.59,2.53,2.58,2.58,56697,0.0,1.0,2025-07-09 12:27:33.726456,2025-07-09 12:27:33.726456
4950,ROP,2022-04-19,457.82,463.845,456.65,462.75,462.75,370954,0.0,1.0,2025-07-09 12:12:12.768237,2025-07-09 12:12:12.768237
10181,ESOA,2019-07-16,0.8,0.8,0.8,0.8,0.7226,0,0.0,1.0,2025-07-09 12:00:36.651428,2025-07-09 12:00:36.651428
6194,BWEN,2005-10-14,1.55,1.55,1.55,1.55,15.5,0,0.0,1.0,2025-07-09 11:47:52.159970,2025-07-09 11:47:52.159970
8897,HUN,2011-10-03,9.5,9.5,8.74,8.78,5.737,5318800,0.0,1.0,2025-07-09 09:45:41.851096,2025-07-09 09:45:41.851096
10199,ES,2006-06-09,20.56,20.87,20.49,20.85,11.1254,556100,0.0,1.0,2025-07-09 09:19:13.650089,2025-07-09 09:19:13.650089
10596,EMP,2019-10-30,26.97,27.03,26.7788,27.03,22.4469,10097,0.0,1.0,2025-07-09 10:25:37.277345,2025-07-09 10:25:37.277345
9502,ITRN,2014-06-20,24.68,24.68,24.53,24.68,16.874,3700,0.0,1.0,2025-07-09 10:30:51.415007,2025-07-09 10:30:51.415007
11019,GIL,2014-06-10,55.0,55.64,54.81,55.5,23.4432,248400,0.0,1.0,2025-07-09 10:13:47.891494,2025-07-09 10:13:47.891494
9843,IFRX,2023-04-12,4.66,4.8,4.05,4.1,4.1,5643226,0.0,1.0,2025-07-09 10:59:32.190575,2025-07-09 10:59:32.190575
4775,RELL,2001-07-13,12.94,13.57,12.94,13.49,7.762,45700,0.0,1.0,2025-07-09 12:56:15.355387,2025-07-09 12:56:15.355387
